chr20	50934867	50958550	DPM1-203	89	-	ENSG00000000419.12	ENST00000371588.9	protein_coding	50934867,50936148,50940865,50942031,50945737,50945847,50948629,50955186,50958363	50935236,50936262,50940933,50942126,50945762,50945923,50948662,50955285,50958550	50958521	50935132
chr1	169853074	169893959	SCYL3-203	45	-	ENSG00000000457.13	ENST00000367772.8	protein_coding	169853074,169854270,169855796,169859041,169862613,169864369,169866896,169868928,169870255,169873696,169875978,169878634,169888676,169893788	169853772,169854964,169855957,169859212,169862797,169864508,169866973,169869039,169870357,169873752,169876091,169878819,169888890,169893959	169888838	169853713
chr1	196651878	196747504	CFH-202	64	+	ENSG00000000971.15	ENST00000367429.8	protein_coding	196651878,196672978,196673857,196675989,196677476,196679623,196685064,196689420,196690063,196713735,196715593,196725121,196726470,196726761,196728346,196736824,196737475,196740619,196741875,196743452,196745817,196747111	196652175,196673163,196673962,196676065,196677667,196679793,196685237,196689614,196690239,196713917,196715769,196725297,196726652,196726940,196728522,196737006,196737660,196740792,196742051,196743628,196745999,196747504	196652118	196747311
chr6	53497341	53545101	GCLC-215	100	-	ENSG00000001084.12	ENST00000650454.1	protein_coding	53497341,53500045,53500247,53500432,53505392,53505803,53506913,53507480,53508595,53509176,53514204,53514439,53516109,53520778,53522415,53544496	53498967,53500165,53500350,53500513,53505496,53505895,53507025,53507618,53508711,53509250,53514337,53514497,53516222,53520960,53522527,53545101	53544643	53498756
chr6	41072945	41099976	NFYA-201	80	+	ENSG00000001167.14	ENST00000341376.10	protein_coding	41072945,41079029,41080811,41084046,41089579,41090204,41091528,41092912,41094396,41097357	41073084,41079164,41080897,41084192,41089710,41090309,41091694,41093085,41094497,41099976	41079090	41097408
chr1	24357005	24413725	STPG1-201	98	-	ENSG00000001460.17	ENST00000003583.12	protein_coding	24357005,24360851,24369674,24373702,24379653,24383902,24401319,24413674	24358619,24361041,24369839,24373810,24379823,24384003,24401456,24413725	24401364	24358543
chrX	65512582	65534756	LAS1L-203	37	-	ENSG00000001497.16	ENST00000374811.7	protein_coding	65512582,65514823,65517987,65523560,65524056,65524564,65524965,65528260,65529212,65529594,65531357,65532561,65533610,65534480	65512901,65514973,65518465,65523707,65524262,65524614,65525050,65528369,65529258,65529878,65531438,65532630,65533735,65534756	65534713	65512775
chr7	117479963	117668665	CFTR-201	43	+	ENSG00000001626.15	ENST00000003084.10	protein_coding	117479963,117504253,117509034,117530899,117534276,117535248,117536548,117540100,117542016,117548641,117559464,117587739,117590353,117591934,117594930,117602826,117603532,117606674,117610519,117611581,117614613,117627522,117642438,117652842,117664688,117665459,117666908	117480147,117504363,117509142,117531114,117534365,117535411,117536673,117540346,117542108,117548823,117559655,117587833,117590439,117592657,117595058,117602863,117603782,117606753,117610669,117611808,117614713,117627770,117642593,117652931,117664860,117665564,117668665	117480095	117667106
chr7	92198969	92246100	KRIT1-204	64	-	ENSG00000001631.15	ENST00000394507.5	protein_coding	92198969,92201307,92213195,92213892,92214611,92221902,92222822,92225720,92226526,92234449,92234808,92235403,92236413,92237667,92240993,92242034,92244002,92244902,92245427,92245906	92200804,92201423,92213401,92213979,92214777,92222053,92222978,92225827,92226682,92234592,92234923,92235646,92236542,92237759,92241152,92242137,92244149,92245171,92245595,92246100	92242133	92200736
chr12	912545	990053	RAD52-204	59	-	ENSG00000002016.17	ENST00000430095.6	protein_coding	912545,913894,914431,916344,916639,925450,927145,929819,930051,931220,932975,989809	913452,914121,914532,916483,916820,925525,927263,929886,930144,931321,933076,990053	933056	913391
chr11	64269834	64284669	BAD-201	49	-	ENSG00000002330.13	ENST00000309032.7	protein_coding	64269834,64271613,64284182,64284631	64270337,64271803,64284376,64284669	64284366	64270209
chr4	17577192	17607968	LAP3-201	53	+	ENSG00000002549.12	ENST00000226299.8	protein_coding	17577192,17579824,17581760,17582288,17583483,17584972,17588819,17595410,17597046,17598456,17604588,17606829,17607400	17577567,17579939,17581814,17582393,17583642,17585136,17588977,17595534,17597134,17598558,17604667,17606938,17607968	17577466	17607587
chr7	150824627	150861504	AOC1-207	63	+	ENSG00000002726.20	ENST00000493429.5	protein_coding	150824627,150827248,150852115,150856455,150858763,150860501,150860943	150824963,150827402,150852190,150858040,150859048,150860633,150861504	150856471	150861207
chr7	1815794	2233243	MAD1L1-204	40	-	ENSG00000002822.15	ENST00000406869.5	protein_coding	1815794,1898200,1936687,1957629,1980453,2002065,2014502,2069194,2149152,2213212,2215885,2216157,2217962,2219332,2222575,2225410,2229984,2230549,2232872	1816228,1898390,1936897,1957719,1980541,2002121,2014642,2069338,2149238,2213273,2215999,2216287,2218043,2219456,2222754,2225550,2230143,2230724,2233243	2230131	1816070
chr17	48107558	48123074	SNX11-202	69	+	ENSG00000002919.14	ENST00000393405.6	protein_coding	48107558,48110708,48112031,48112574,48113301,48118704,48118974,48121235	48107838,48110767,48112085,48112660,48113401,48118799,48119186,48123074	48112044	48121506
chr7	150800403	150805109	TMEM176A-210	4	+	ENSG00000002933.8	ENST00000484928.5	protein_coding	150800403,150801536,150802215,150803400,150803620,150804362,150804827	150800968,150801724,150802325,150803456,150803832,150804472,150805109	150801551	150804866
